left,top,right,bottom,id
-48.935225,-26.139358,-48.883328,-26.212916,1
-48.883328,-26.139358,-48.831432,-26.212916,2
-48.831432,-26.139358,-48.779535,-26.212916,3
-48.779535,-26.139358,-48.727638,-26.212916,4
-48.935225,-26.212916,-48.883328,-26.286474,5
-48.883328,-26.212916,-48.831432,-26.286474,6
-48.831432,-26.212916,-48.779535,-26.286474,7
-48.779535,-26.212916,-48.727638,-26.286474,8
-48.935225,-26.286475,-48.883328,-26.360033,9
-48.883328,-26.286475,-48.831432,-26.360033,10
-48.831432,-26.286475,-48.779535,-26.360033,11
-48.779535,-26.286475,-48.727638,-26.360033,12
-48.935225,-26.360033,-48.883328,-26.433591,13
-48.883328,-26.360033,-48.831432,-26.433591,14
-48.831432,-26.360033,-48.779535,-26.433591,15
-48.779535,-26.360033,-48.727638,-26.433591,16
